Title,URL,Year,Rating
The Shawshank Redemption,https://www.imdb.com//title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,1994,9.2
The Godfather,https://www.imdb.com//title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,1972,9.2
The Godfather: Part II,https://www.imdb.com//title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,1974,9.0
The Dark Knight,https://www.imdb.com//title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,2008,9.0
12 Angry Men,https://www.imdb.com//title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,1957,8.9
Schindler's List,https://www.imdb.com//title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,1993,8.9
Pulp Fiction,https://www.imdb.com//title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,1994,8.9
The Lord of the Rings: The Return of the King,https://www.imdb.com//title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,2003,8.9
"Il buono, il brutto, il cattivo",https://www.imdb.com//title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,1966,8.8
Fight Club,https://www.imdb.com//title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,1999,8.8
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com//title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11,2001,8.8
Forrest Gump,https://www.imdb.com//title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12,1994,8.7
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com//title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13,1980,8.7
Inception,https://www.imdb.com//title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14,2010,8.7
The Lord of the Rings: The Two Towers,https://www.imdb.com//title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15,2002,8.7
One Flew Over the Cuckoo's Nest,https://www.imdb.com//title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16,1975,8.7
Goodfellas,https://www.imdb.com//title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17,1990,8.7
The Matrix,https://www.imdb.com//title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18,1999,8.7
Shichinin no samurai,https://www.imdb.com//title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19,1954,8.6
Star Wars,https://www.imdb.com//title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20,1977,8.6
Cidade de Deus,https://www.imdb.com//title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21,2002,8.6
Se7en,https://www.imdb.com//title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22,1995,8.6
The Silence of the Lambs,https://www.imdb.com//title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23,1991,8.6
It's a Wonderful Life,https://www.imdb.com//title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24,1946,8.6
La vita è bella,https://www.imdb.com//title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25,1997,8.6
The Usual Suspects,https://www.imdb.com//title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26,1995,8.6
Léon,https://www.imdb.com//title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27,1994,8.5
Saving Private Ryan,https://www.imdb.com//title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28,1998,8.5
Sen to Chihiro no kamikakushi,https://www.imdb.com//title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29,2001,8.5
American History X,https://www.imdb.com//title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30,1998,8.5
Once Upon a Time in the West,https://www.imdb.com//title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31,1968,8.5
Interstellar,https://www.imdb.com//title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32,2014,8.5
The Green Mile,https://www.imdb.com//title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33,1999,8.5
Psycho,https://www.imdb.com//title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34,1960,8.5
Casablanca,https://www.imdb.com//title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35,1942,8.5
City Lights,https://www.imdb.com//title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36,1931,8.5
The Intouchables,https://www.imdb.com//title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37,2011,8.5
Modern Times,https://www.imdb.com//title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38,1936,8.5
Raiders of the Lost Ark,https://www.imdb.com//title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39,1981,8.5
The Pianist,https://www.imdb.com//title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40,2002,8.5
The Departed,https://www.imdb.com//title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41,2006,8.5
Rear Window,https://www.imdb.com//title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_42,1954,8.5
Terminator 2: Judgment Day,https://www.imdb.com//title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43,1991,8.5
Back to the Future,https://www.imdb.com//title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44,1985,8.5
Whiplash,https://www.imdb.com//title/tt2582802/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_45,2014,8.5
Gladiator,https://www.imdb.com//title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_46,2000,8.5
The Prestige,https://www.imdb.com//title/tt0482571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_47,2006,8.5
The Lion King,https://www.imdb.com//title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_48,1994,8.5
Memento,https://www.imdb.com//title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_49,2000,8.5
Apocalypse Now,https://www.imdb.com//title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_50,1979,8.5
Alien,https://www.imdb.com//title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_51,1979,8.4
The Great Dictator,https://www.imdb.com//title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_52,1940,8.4
Sunset Blvd.,https://www.imdb.com//title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_53,1950,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com//title/tt0057012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_54,1964,8.4
Nuovo Cinema Paradiso,https://www.imdb.com//title/tt0095765/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_55,1988,8.4
The Lives of Others,https://www.imdb.com//title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_56,2006,8.4
Hotaru no haka,https://www.imdb.com//title/tt0095327/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57,1988,8.4
Paths of Glory,https://www.imdb.com//title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58,1957,8.4
Django Unchained,https://www.imdb.com//title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59,2012,8.4
The Shining,https://www.imdb.com//title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60,1980,8.4
Blade Runner 2049,https://www.imdb.com//title/tt1856101/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61,2017,8.4
WALL·E,https://www.imdb.com//title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62,2008,8.4
American Beauty,https://www.imdb.com//title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63,1999,8.4
The Dark Knight Rises,https://www.imdb.com//title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64,2012,8.4
Mononoke-hime,https://www.imdb.com//title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65,1997,8.4
Oldeuboi,https://www.imdb.com//title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66,2003,8.4
Aliens,https://www.imdb.com//title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67,1986,8.4
Witness for the Prosecution,https://www.imdb.com//title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68,1957,8.4
Once Upon a Time in America,https://www.imdb.com//title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69,1984,8.4
Das Boot,https://www.imdb.com//title/tt0082096/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70,1981,8.3
Dangal,https://www.imdb.com//title/tt5074352/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_71,2016,8.3
Citizen Kane,https://www.imdb.com//title/tt0033467/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_72,1941,8.3
Vertigo,https://www.imdb.com//title/tt0052357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_73,1958,8.3
North by Northwest,https://www.imdb.com//title/tt0053125/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_74,1959,8.3
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com//title/tt0086190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_75,1983,8.3
Braveheart,https://www.imdb.com//title/tt0112573/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_76,1995,8.3
Reservoir Dogs,https://www.imdb.com//title/tt0105236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_77,1992,8.3
M,https://www.imdb.com//title/tt0022100/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_78,1931,8.3
Requiem for a Dream,https://www.imdb.com//title/tt0180093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_79,2000,8.3
Amélie,https://www.imdb.com//title/tt0211915/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_80,2001,8.3
Taare Zameen Par,https://www.imdb.com//title/tt0986264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_81,2007,8.3
A Clockwork Orange,https://www.imdb.com//title/tt0066921/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_82,1971,8.3
Kimi no na wa.,https://www.imdb.com//title/tt5311514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_83,2016,8.3
