Title,URL,Year,Rating
Lawrence of Arabia,https://www.imdb.com//title/tt0056172/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_84,1962,8.3
Double Indemnity,https://www.imdb.com//title/tt0036775/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_85,1944,8.3
Amadeus,https://www.imdb.com//title/tt0086879/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_86,1984,8.3
Eternal Sunshine of the Spotless Mind,https://www.imdb.com//title/tt0338013/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_87,2004,8.3
Taxi Driver,https://www.imdb.com//title/tt0075314/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_88,1976,8.3
To Kill a Mockingbird,https://www.imdb.com//title/tt0056592/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_89,1962,8.3
Full Metal Jacket,https://www.imdb.com//title/tt0093058/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_90,1987,8.3
2001: A Space Odyssey,https://www.imdb.com//title/tt0062622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_91,1968,8.3
Singin' in the Rain,https://www.imdb.com//title/tt0045152/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_92,1952,8.3
Dunkirk,https://www.imdb.com//title/tt5013056/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_93,2017,8.3
Toy Story,https://www.imdb.com//title/tt0114709/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_94,1995,8.3
Toy Story 3,https://www.imdb.com//title/tt0435761/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_95,2010,8.3
The Sting,https://www.imdb.com//title/tt0070735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_96,1973,8.3
3 Idiots,https://www.imdb.com//title/tt1187043/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_97,2009,8.3
Inglourious Basterds,https://www.imdb.com//title/tt0361748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_98,2009,8.3
Ladri di biciclette,https://www.imdb.com//title/tt0040522/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_99,1948,8.3
The Kid,https://www.imdb.com//title/tt0012349/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_100,1921,8.3
Snatch,https://www.imdb.com//title/tt0208092/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_101,2000,8.3
Monty Python and the Holy Grail,https://www.imdb.com//title/tt0071853/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_102,1975,8.3
Good Will Hunting,https://www.imdb.com//title/tt0119217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_103,1997,8.3
Jagten,https://www.imdb.com//title/tt2106476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_104,2012,8.3
Per qualche dollaro in più,https://www.imdb.com//title/tt0059578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_105,1965,8.3
L.A. Confidential,https://www.imdb.com//title/tt0119488/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_106,1997,8.3
Scarface,https://www.imdb.com//title/tt0086250/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_107,1983,8.3
The Apartment,https://www.imdb.com//title/tt0053604/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_108,1960,8.2
Metropolis,https://www.imdb.com//title/tt0017136/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_109,1927,8.2
Jodaeiye Nader az Simin,https://www.imdb.com//title/tt1832382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_110,2011,8.2
Rashômon,https://www.imdb.com//title/tt0042876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_111,1950,8.2
Indiana Jones and the Last Crusade,https://www.imdb.com//title/tt0097576/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_112,1989,8.2
All About Eve,https://www.imdb.com//title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_113,1950,8.2
Yôjinbô,https://www.imdb.com//title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_114,1961,8.2
Babam ve Oglum,https://www.imdb.com//title/tt0476735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_115,2005,8.2
Up,https://www.imdb.com//title/tt1049413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_116,2009,8.2
Batman Begins,https://www.imdb.com//title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_117,2005,8.2
Some Like It Hot,https://www.imdb.com//title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_118,1959,8.2
The Treasure of the Sierra Madre,https://www.imdb.com//title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_119,1948,8.2
Unforgiven,https://www.imdb.com//title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_120,1992,8.2
Der Untergang,https://www.imdb.com//title/tt0363163/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_121,2004,8.2
Die Hard,https://www.imdb.com//title/tt0095016/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_122,1988,8.2
Raging Bull,https://www.imdb.com//title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_123,1980,8.2
Heat,https://www.imdb.com//title/tt0113277/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_124,1995,8.2
The Third Man,https://www.imdb.com//title/tt0041959/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_125,1949,8.2
Bacheha-Ye aseman,https://www.imdb.com//title/tt0118849/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_126,1997,8.2
The Great Escape,https://www.imdb.com//title/tt0057115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_127,1963,8.2
Ikiru,https://www.imdb.com//title/tt0044741/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_128,1952,8.2
Chinatown,https://www.imdb.com//title/tt0071315/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_129,1974,8.2
Pan's Labyrinth,https://www.imdb.com//title/tt0457430/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_130,2006,8.2
Tonari no Totoro,https://www.imdb.com//title/tt0096283/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_131,1988,8.2
Incendies,https://www.imdb.com//title/tt1255953/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_132,2010,8.2
Ran,https://www.imdb.com//title/tt0089881/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_133,1985,8.2
The Gold Rush,https://www.imdb.com//title/tt0015864/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_134,1925,8.2
Judgment at Nuremberg,https://www.imdb.com//title/tt0055031/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_135,1961,8.2
El secreto de sus ojos,https://www.imdb.com//title/tt1305806/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_136,2009,8.2
Inside Out,https://www.imdb.com//title/tt2096673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_137,2015,8.2
On the Waterfront,https://www.imdb.com//title/tt0047296/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_138,1954,8.2
Hauru no ugoku shiro,https://www.imdb.com//title/tt0347149/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_139,2004,8.2
The Bridge on the River Kwai,https://www.imdb.com//title/tt0050212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_140,1957,8.2
Room,https://www.imdb.com//title/tt3170832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_141,2015,8.2
Det sjunde inseglet,https://www.imdb.com//title/tt0050976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_142,1957,8.2
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com//title/tt0120735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_143,1998,8.2
Mr. Smith Goes to Washington,https://www.imdb.com//title/tt0031679/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_144,1939,8.2
Blade Runner,https://www.imdb.com//title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145,1982,8.2
Casino,https://www.imdb.com//title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146,1995,8.2
A Beautiful Mind,https://www.imdb.com//title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147,2001,8.2
The Elephant Man,https://www.imdb.com//title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148,1980,8.1
Smultronstället,https://www.imdb.com//title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149,1957,8.1
V for Vendetta,https://www.imdb.com//title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150,2005,8.1
The Wolf of Wall Street,https://www.imdb.com//title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151,2013,8.1
The General,https://www.imdb.com//title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152,1926,8.1
Warrior,https://www.imdb.com//title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153,2011,8.1
Trainspotting,https://www.imdb.com//title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154,1996,8.1
Dial M for Murder,https://www.imdb.com//title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155,1954,8.1
Gran Torino,https://www.imdb.com//title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156,2008,8.1
Sunrise: A Song of Two Humans,https://www.imdb.com//title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157,1927,8.1
Gone with the Wind,https://www.imdb.com//title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158,1939,8.1
Andrei Rublev,https://www.imdb.com//title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159,1966,8.1
The Deer Hunter,https://www.imdb.com//title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160,1978,8.1
The Sixth Sense,https://www.imdb.com//title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161,1999,8.1
Fargo,https://www.imdb.com//title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162,1996,8.1
The Thing,https://www.imdb.com//title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163,1982,8.1
No Country for Old Men,https://www.imdb.com//title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164,2007,8.1
The Big Lebowski,https://www.imdb.com//title/tt0118715/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165,1998,8.1
Finding Nemo,https://www.imdb.com//title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0F1P6X3M7GTYYPARYPPC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_166,2003,8.1
